#   d (cM)	weighted LD	    bin count
     0.422	 0.00000139	      3985659
     0.423	 0.00000157	      3987717
     0.424	 0.00000140	      3985674
     0.425	 0.00000127	      3988118
     0.426	 0.00000104	      3987952
     0.427	 0.00000095	      3987123
     0.428	 0.00000125	      3984855
     0.429	 0.00000081	      3990616
     0.430	 0.00000090	      3988194
     0.431	 0.00000116	      3986725
     0.432	 0.00000041	      3985424
     0.433	 0.00000070	      3986538
     0.434	 0.00000056	      3988919
     0.435	 0.00000011	      3990514
     0.436	 0.00000022	      3988878
     0.437	-0.00000004	      3987460
     0.438	 0.00000074	      3988894
     0.439	 0.00000082	      3987502
     0.440	 0.00000066	      3987687
     0.441	 0.00000102	      3987358
     0.442	 0.00000060	      3985539
     0.443	 0.00000027	      3988083
     0.444	 0.00000046	      3983361
     0.445	 0.00000064	      3987329
     0.446	 0.00000076	      3986131
     0.447	 0.00000077	      3985997
     0.448	 0.00000060	      3986685
     0.449	 0.00000052	      3986007
     0.450	 0.00000072	      3983128
     0.451	 0.00000050	      3984170
     0.452	 0.00000047	      3981326
     0.453	 0.00000006	      3984919
     0.454	 0.00000044	      3986319
     0.455	 0.00000020	      3985704
     0.456	 0.00000024	      3983036
     0.457	 0.00000069	      3983537
     0.458	 0.00000045	      3988316
     0.459	 0.00000096	      3984294
     0.460	 0.00000086	      3989867
     0.461	 0.00000083	      3984975
     0.462	 0.00000065	      3987543
     0.463	 0.00000073	      3987355
     0.464	 0.00000121	      3988029
     0.465	 0.00000129	      3987281
     0.466	 0.00000073	      3989859
     0.467	 0.00000023	      3986657
     0.468	 0.00000072	      3983440
     0.469	 0.00000020	      3985014
     0.470	 0.00000094	      3985628
     0.471	 0.00000085	      3982507
     0.472	 0.00000068	      3983432
     0.473	 0.00000062	      3984000
     0.474	 0.00000019	      3982180
     0.475	 0.00000052	      3983414
     0.476	 0.00000024	      3981626
     0.477	 0.00000014	      3983331
     0.478	 0.00000004	      3984222
     0.479	-0.00000016	      3982639
     0.480	-0.00000012	      3984805
     0.481	 0.00000064	      3982318
     0.482	 0.00000016	      3984153
     0.483	 0.00000078	      3983275
     0.484	 0.00000116	      3987014
     0.485	 0.00000084	      3984240
     0.486	 0.00000010	      3982984
     0.487	 0.00000020	      3987881
     0.488	 0.00000090	      3984976
     0.489	 0.00000046	      3986063
     0.490	 0.00000046	      3982850
     0.491	 0.00000014	      3984938
     0.492	 0.00000065	      3987556
     0.493	 0.00000076	      3987967
     0.494	 0.00000095	      3982881
     0.495	 0.00000037	      3985938
     0.496	 0.00000078	      3987828
     0.497	 0.00000046	      3981744
     0.498	 0.00000016	      3987028
     0.499	 0.00000065	      3983420
     0.500	 0.00000062	      3983741
     0.501	 0.00000064	      3986491
     0.502	 0.00000088	      3982160
     0.503	 0.00000101	      3984097
     0.504	 0.00000074	      3983925
     0.505	 0.00000116	      3985148
     0.506	 0.00000076	      3983766
     0.507	 0.00000092	      3984269
     0.508	 0.00000055	      3984420
     0.509	 0.00000032	      3984652
     0.510	 0.00000093	      3979698
     0.511	 0.00000034	      3981936
     0.512	 0.00000058	      3984037
     0.513	 0.00000038	      3981034
     0.514	 0.00000074	      3988429
     0.515	 0.00000065	      3983837
     0.516	 0.00000034	      3983926
     0.517	 0.00000008	      3986827
     0.518	-0.00000012	      3979954
     0.519	-0.00000004	      3984777
     0.520	-0.00000004	      3984568
     0.521	-0.00000029	      3984828
     0.522	-0.00000007	      3983662
     0.523	 0.00000006	      3985400
     0.524	 0.00000029	      3987034
     0.525	 0.00000074	      3988192
     0.526	-0.00000004	      3985469
     0.527	 0.00000014	      3990390
     0.528	-0.00000009	      3982200
     0.529	-0.00000027	      3986501
     0.530	-0.00000052	      3983113
     0.531	 0.00000020	      3986197
     0.532	-0.00000001	      3983459
     0.533	 0.00000029	      3983673
     0.534	 0.00000059	      3985747
     0.535	 0.00000030	      3980927
     0.536	 0.00000067	      3984282
     0.537	 0.00000027	      3985537
     0.538	 0.00000021	      3982017
     0.539	 0.00000100	      3981085
     0.540	 0.00000042	      3981609
     0.541	 0.00000060	      3983633
     0.542	 0.00000066	      3981091
     0.543	 0.00000001	      3983907
     0.544	-0.00000014	      3984508
     0.545	 0.00000005	      3982194
     0.546	-0.00000008	      3983719
     0.547	 0.00000040	      3985519
     0.548	 0.00000047	      3985389
     0.549	 0.00000019	      3981273
     0.550	 0.00000007	      3987835
     0.551	 0.00000002	      3980399
     0.552	-0.00000003	      3985310
     0.553	-0.00000025	      3981494
     0.554	-0.00000018	      3981867
     0.555	-0.00000023	      3980708
     0.556	 0.00000033	      3978650
     0.557	-0.00000005	      3982501
     0.558	-0.00000013	      3984275
     0.559	-0.00000001	      3976384
     0.560	-0.00000043	      3982533
     0.561	-0.00000013	      3985714
     0.562	 0.00000011	      3985478
     0.563	-0.00000073	      3981433
     0.564	-0.00000009	      3984436
     0.565	-0.00000027	      3981589
     0.566	 0.00000024	      3982446
     0.567	 0.00000050	      3986029
     0.568	 0.00000071	      3978430
     0.569	 0.00000079	      3979928
     0.570	 0.00000047	      3982551
     0.571	 0.00000017	      3974377
     0.572	 0.00000086	      3980327
     0.573	-0.00000001	      3982061
     0.574	 0.00000049	      3980514
     0.575	-0.00000016	      3986123
     0.576	-0.00000027	      3980191
     0.577	 0.00000005	      3983316
     0.578	-0.00000023	      3980463
     0.579	 0.00000011	      3979689
     0.580	-0.00000035	      3978512
     0.581	 0.00000031	      3979575
     0.582	-0.00000022	      3980364
     0.583	 0.00000024	      3981393
     0.584	-0.00000012	      3983085
     0.585	-0.00000022	      3979564
     0.586	-0.00000014	      3978530
     0.587	-0.00000056	      3978359
     0.588	 0.00000043	      3981758
     0.589	 0.00000007	      3980526
     0.590	-0.00000009	      3980109
     0.591	 0.00000024	      3982565
     0.592	-0.00000006	      3977386
     0.593	 0.00000005	      3981331
     0.594	 0.00000020	      3977941
     0.595	 0.00000041	      3987126
     0.596	 0.00000099	      3987254
     0.597	 0.00000082	      3984177
     0.598	 0.00000098	      3979878
     0.599	 0.00000088	      3983423
     0.600	 0.00000047	      3983084
     0.601	 0.00000096	      3977765
     0.602	 0.00000056	      3979754
     0.603	 0.00000049	      3982804
     0.604	 0.00000040	      3983129
     0.605	 0.00000027	      3978346
     0.606	 0.00000015	      3984016
     0.607	 0.00000022	      3982100
     0.608	 0.00000005	      3984038
     0.609	-0.00000004	      3984677
     0.610	 0.00000005	      3982765
     0.611	-0.00000003	      3980895
     0.612	 0.00000011	      3978913
     0.613	 0.00000004	      3981168
     0.614	-0.00000000	      3981475
     0.615	-0.00000004	      3982899
     0.616	-0.00000023	      3981911
     0.617	 0.00000008	      3983104
     0.618	 0.00000033	      3978069
     0.619	 0.00000019	      3980052
     0.620	 0.00000010	      3980314
     0.621	 0.00000004	      3976064
     0.622	 0.00000023	      3979261
     0.623	 0.00000066	      3980604
     0.624	 0.00000025	      3979351
     0.625	 0.00000038	      3979688
     0.626	 0.00000052	      3979094
     0.627	 0.00000092	      3980824
     0.628	 0.00000022	      3981854
     0.629	 0.00000073	      3978148
     0.630	 0.00000045	      3983950
     0.631	 0.00000037	      3982377
     0.632	 0.00000052	      3978388
     0.633	 0.00000032	      3986089
     0.634	 0.00000071	      3976944
     0.635	 0.00000061	      3980764
     0.636	 0.00000023	      3980082
     0.637	 0.00000062	      3977311
     0.638	 0.00000032	      3978001
     0.639	-0.00000012	      3979198
     0.640	-0.00000013	      3978546
     0.641	 0.00000031	      3980934
     0.642	 0.00000091	      3978040
     0.643	 0.00000068	      3981760
     0.644	 0.00000088	      3978131
     0.645	 0.00000016	      3977184
     0.646	 0.00000053	      3978616
     0.647	 0.00000057	      3978881
     0.648	 0.00000057	      3977418
     0.649	 0.00000050	      3979326
     0.650	-0.00000002	      3978439
     0.651	 0.00000028	      3976480
     0.652	-0.00000007	      3980480
     0.653	 0.00000002	      3973361
     0.654	 0.00000032	      3978667
     0.655	 0.00000029	      3979740
